/usr/local/bin/fastp -i 49937_1#147_1.fastq.gz -I 49937_1#147_2.fastq.gz -o trimmed/49937_1#147_1_tr.fastq.gz -O trimmed/49937_1#147_2_tr.fastq.gz -j trimmed/49937_1#147.json -h trimmed/49937_1#147.html 	1650072	1638540
/usr/local/bin/fastp -i 49937_1#148_1.fastq.gz -I 49937_1#148_2.fastq.gz -o trimmed/49937_1#148_1_tr.fastq.gz -O trimmed/49937_1#148_2_tr.fastq.gz -j trimmed/49937_1#148.json -h trimmed/49937_1#148.html 	1451214	1439194
/usr/local/bin/fastp -i 49937_1#149_1.fastq.gz -I 49937_1#149_2.fastq.gz -o trimmed/49937_1#149_1_tr.fastq.gz -O trimmed/49937_1#149_2_tr.fastq.gz -j trimmed/49937_1#149.json -h trimmed/49937_1#149.html 	2392166	2363038
/usr/local/bin/fastp -i 49937_1#14_1.fastq.gz -I 49937_1#14_2.fastq.gz -o trimmed/49937_1#14_1_tr.fastq.gz -O trimmed/49937_1#14_2_tr.fastq.gz -j trimmed/49937_1#14.json -h trimmed/49937_1#14.html 	2257280	2232498
/usr/local/bin/fastp -i 49937_1#150_1.fastq.gz -I 49937_1#150_2.fastq.gz -o trimmed/49937_1#150_1_tr.fastq.gz -O trimmed/49937_1#150_2_tr.fastq.gz -j trimmed/49937_1#150.json -h trimmed/49937_1#150.html 	1882534	1867480
/usr/local/bin/fastp -i 49937_1#151_1.fastq.gz -I 49937_1#151_2.fastq.gz -o trimmed/49937_1#151_1_tr.fastq.gz -O trimmed/49937_1#151_2_tr.fastq.gz -j trimmed/49937_1#151.json -h trimmed/49937_1#151.html 	855028	848098
/usr/local/bin/fastp -i 49937_1#152_1.fastq.gz -I 49937_1#152_2.fastq.gz -o trimmed/49937_1#152_1_tr.fastq.gz -O trimmed/49937_1#152_2_tr.fastq.gz -j trimmed/49937_1#152.json -h trimmed/49937_1#152.html 	2454730	2437120
/usr/local/bin/fastp -i 49937_1#153_1.fastq.gz -I 49937_1#153_2.fastq.gz -o trimmed/49937_1#153_1_tr.fastq.gz -O trimmed/49937_1#153_2_tr.fastq.gz -j trimmed/49937_1#153.json -h trimmed/49937_1#153.html 	2109732	2090184
/usr/local/bin/fastp -i 49937_1#154_1.fastq.gz -I 49937_1#154_2.fastq.gz -o trimmed/49937_1#154_1_tr.fastq.gz -O trimmed/49937_1#154_2_tr.fastq.gz -j trimmed/49937_1#154.json -h trimmed/49937_1#154.html 	2128294	2109914
/usr/local/bin/fastp -i 49937_1#155_1.fastq.gz -I 49937_1#155_2.fastq.gz -o trimmed/49937_1#155_1_tr.fastq.gz -O trimmed/49937_1#155_2_tr.fastq.gz -j trimmed/49937_1#155.json -h trimmed/49937_1#155.html 	2429386	2408552
