49937_1#33.assembly	100.0	0.06	Neural Network (Specific Model)	11	0.881	369411	314.30373460468815	5381434	0.57	5034	None
49989_2#55.assembly	100.0	0.93	Neural Network (Specific Model)	11	0.879	202436	312.0304046970015	5068978	0.5	4769	None
49989_1#18.assembly	100.0	0.61	Neural Network (Specific Model)	11	0.882	165982	300.66437592867754	5498678	0.51	5384	None
49989_1#33.assembly	100.0	2.13	Neural Network (Specific Model)	11	0.879	209196	305.0494953416149	5353034	0.51	5152	None
49937_1#167.assembly	100.0	0.37	Neural Network (Specific Model)	11	0.88	398990	314.840068952308	5591977	0.57	5221	None
49989_1#285.assembly	100.0	0.72	Neural Network (Specific Model)	11	0.882	187283	309.76090534979426	5112893	0.51	4860	None
49947_1#86.assembly	100.0	0.2	Neural Network (Specific Model)	11	0.883	242098	313.9992261559296	5503174	0.57	5169	None
49937_1#55.assembly	100.0	0.06	Neural Network (Specific Model)	11	0.878	227540	308.82012377720105	5276008	0.55	5009	None
49989_2#364.assembly	100.0	1.04	Neural Network (Specific Model)	11	0.883	215875	306.4342131775136	5159632	0.51	4963	None
49947_1#32.assembly	100.0	0.54	Neural Network (Specific Model)	11	0.883	225637	303.5965441028732	5125832	0.51	4977	None
49989_2#164.assembly	100.0	0.04	Neural Network (Specific Model)	11	0.879	278069	310.9553126198696	5524400	0.57	5214	None
49989_2#175.assembly	100.0	0.69	Neural Network (Specific Model)	11	0.883	239678	308.10442842430484	5072623	0.51	4855	None
49989_1#341.assembly	100.0	0.51	Neural Network (Specific Model)	11	0.881	307934	307.02950752950755	5131344	0.51	4914	None
49990_2#233.assembly	100.0	0.72	Neural Network (Specific Model)	11	0.878	470889	312.9998052580331	5481329	0.57	5135	None
49990_1#115.assembly	100.0	2.76	Neural Network (Specific Model)	11	0.88	36719	291.1638432364096	3919586	0.39	3955	None
49990_2#315.assembly	100.0	0.13	Neural Network (Specific Model)	11	0.887	212570	312.5481451449422	5204627	0.5	4933	None
49990_1#348.assembly	100.0	0.28	Neural Network (Specific Model)	11	0.881	91061	299.8063413707993	5366391	0.51	5267	None
49990_2#105.assembly	100.0	0.68	Neural Network (Specific Model)	11	0.882	415237	309.8588064046579	5060882	0.51	4809	None
49989_1#353.assembly	100.0	0.71	Neural Network (Specific Model)	11	0.881	234173	316.09633326101107	4951835	0.51	4609	None
49937_1#96.assembly	100.0	0.11	Neural Network (Specific Model)	11	0.89	252229	321.6557221783741	6855409	0.66	6335	None
49937_1#253.assembly	100.0	0.15	Neural Network (Specific Model)	11	0.878	289225	311.1104094910065	5545021	0.57	5226	None
49937_1#363.assembly	100.0	1.06	Neural Network (Specific Model)	11	0.884	317057	314.16421725239616	4995640	0.51	4695	None
49989_1#35.assembly	100.0	1.03	Neural Network (Specific Model)	11	0.883	176647	307.25147306397304	4952743	0.51	4752	None
49989_1#176.assembly	100.0	0.93	Neural Network (Specific Model)	11	0.881	358093	311.3274757080835	5118832	0.51	4837	None
49937_1#320.assembly	100.0	0.31	Neural Network (Specific Model)	11	0.881	174220	307.86020833333333	5023425	0.51	4800	None
49989_2#274.assembly	100.0	0.11	Neural Network (Specific Model)	11	0.886	436454	319.43500114233495	4724005	0.51	4377	None
49990_1#215.assembly	99.99	0.28	Neural Network (Specific Model)	11	0.883	211799	303.16390489913545	5710060	0.57	5552	None
49937_1#358.assembly	100.0	0.18	Neural Network (Specific Model)	11	0.877	96195	302.1181561996779	5128240	0.5	4968	None
49947_1#60.assembly	100.0	0.71	Neural Network (Specific Model)	11	0.883	151954	296.3641829112771	5514646	0.5	5489	None
49937_1#339.assembly	99.99	0.27	Neural Network (Specific Model)	11	0.883	211799	303.4549882734981	5705694	0.57	5543	None
49990_2#174.assembly	100.0	1.74	Neural Network (Specific Model)	11	0.879	362978	314.04274227676683	5057270	0.51	4726	None
49989_2#198.assembly	100.0	1.25	Neural Network (Specific Model)	11	0.882	233499	311.31317764804004	5067376	0.51	4796	None
49989_2#160.assembly	100.0	0.82	Neural Network (Specific Model)	11	0.879	195526	308.7107303141575	5156727	0.5	4902	None
49990_2#255.assembly	100.0	0.34	Neural Network (Specific Model)	11	0.888	335743	319.3080558055806	4787313	0.51	4444	None
49990_2#119.assembly	100.0	1.15	Neural Network (Specific Model)	11	0.883	173578	307.1400486420754	5140622	0.51	4934	None
49990_2#261.assembly	100.0	0.97	Neural Network (Specific Model)	11	0.878	202436	307.54146149300766	5325723	0.51	5077	None
49989_1#359.assembly	100.0	1.38	Neural Network (Specific Model)	11	0.878	155169	305.37012350519507	5311677	0.5	5101	None
49990_1#313.assembly	100.0	0.41	Neural Network (Specific Model)	11	0.88	222062	304.90491670052825	5105101	0.51	4922	None
49937_1#376.assembly	100.0	0.13	Neural Network (Specific Model)	11	0.882	168382	307.90761650585097	5095783	0.51	4871	None
49989_2#65.assembly	100.0	0.69	Neural Network (Specific Model)	11	0.883	233426	307.8078979843686	5074457	0.51	4862	None
49947_1#345.assembly	100.0	0.65	Neural Network (Specific Model)	11	0.884	222182	307.14120082815737	5028166	0.51	4830	None
49990_2#139.assembly	100.0	0.71	Neural Network (Specific Model)	11	0.88	300106	305.41455633100696	5213474	0.51	5015	None
49937_1#50.assembly	100.0	1.26	Neural Network (Specific Model)	11	0.882	209197	311.5051116211141	5069794	0.51	4793	None
49989_2#131.assembly	100.0	0.69	Neural Network (Specific Model)	11	0.884	158772	305.3310118803769	5049520	0.51	4882	None
49989_1#305.assembly	100.0	0.65	Neural Network (Specific Model)	11	0.88	205155	310.45204630012404	5112479	0.51	4838	None
