studyid,runid,laneid,plexid
7835,49989,2,273
7835,49990,2,143
7835,49989,1,69
7835,49990,2,89
7835,49937,1,378
7835,49990,2,169
7835,49990,1,287
7835,49989,1,60
7835,49937,1,46
7835,49989,2,380
7835,49990,2,212
7835,49989,2,288
7835,49937,1,248
7835,49990,2,209
7835,49937,1,128
7835,49990,2,198
7835,49990,1,283
7835,49989,2,3
7835,49937,1,171
7835,49989,1,313
7835,49937,1,190
7835,49989,1,13
7835,49937,1,28
7835,49989,1,139
7835,49990,2,105
7835,49947,1,93
7835,49989,2,323
7835,49989,2,156
7835,49990,2,100
7835,49937,1,372
7835,49937,1,291
7835,49989,2,104
7835,49989,2,42
7835,49990,1,254
7835,49990,2,284
7835,49947,1,209
7835,49947,1,184
7835,49989,2,61
7835,49989,2,51
7835,49937,1,19
7835,49989,2,126
7835,49990,2,162
7835,49989,2,226
7835,49989,1,319
7835,49989,1,239
7835,49937,1,343
7835,49989,2,2
7835,49990,2,214
7835,49990,1,93
7835,49937,1,357
7835,49937,1,370
7835,49989,1,205
7835,49989,2,218
7835,49947,1,245
7835,49989,2,40
7835,49937,1,63
7835,49990,2,46
7835,49989,1,169
7835,49990,1,18
7835,49990,1,278
7835,49989,2,310
7835,49990,1,189
7835,49937,1,201
7835,49990,1,87
7835,49989,1,315
7835,49937,1,275
7835,49989,2,14
7835,49989,1,261
7835,49989,2,212
7835,49937,1,90
7835,49937,1,363
7835,49989,1,135
7835,49989,2,287
7835,49937,1,66
7835,49990,2,236
7835,49937,1,184
7835,49937,1,302
7835,49989,1,35
7835,49990,2,76
7835,49990,2,217
7835,49947,1,123
7835,49947,1,344
7835,49937,1,20
7835,49989,2,137
7835,49937,1,234
7835,49990,1,115
7835,49990,1,149
7835,49989,1,257
7835,49989,2,5
7835,49989,1,187
7835,49947,1,320
7835,49990,2,98
7835,49990,1,375
7835,49989,2,123
7835,49989,2,331
7835,49989,1,254
7835,49989,2,233
7835,49937,1,225
7835,49990,1,128
7835,49989,2,318
7835,49937,1,262
7835,49989,1,80
7835,49947,1,121
7835,49937,1,104
7835,49989,1,215
7835,49990,1,216
7835,49989,2,189
7835,49989,2,181
7835,49990,2,48
7835,49989,1,164
7835,49937,1,22
7835,49989,2,94
